n	row_ratio	col_ratio	offset
164048	4.966820686628304	4.966832878181996	2
164334	4.96734090328234	4.967426095634501	14
164619	4.967707251289341	4.967731549821102	4
164905	4.967884539583396	4.96792092416846	6
165191	4.968000678003039	4.968006731601601	1
165477	4.968400442357548	4.968406485493452	1
165762	4.9687322788093775	4.968756409792353	4
166048	4.9689126035845055	4.968924648294469	2
166334	4.9693628482450976	4.969380884244953	3
166620	4.969547473292522	4.969553474972993	1
166906	4.9698692677315375	4.9698752591278925	1
167191	4.970177820576467	4.970207726492455	5
167477	4.970252631704652	4.970276515581244	4
167763	4.970666952784583	4.970678874364431	2
168049	4.970687121018274	4.9706990223089695	2
168335	4.970736923396798	4.9707488044672825	2
168620	4.971266753647254	4.971272684141858	1
168906	4.971587747030893	4.971605508389281	3
169192	4.971848550758901	4.9718840134285305	6
169478	4.972167478964821	4.972196981319109	5
169764	4.972208477651328	4.9722438208336275	6
170049	4.972407953001782	4.97241383365971	1
170335	4.972689112630992	4.972700854199078	2
170621	4.972641116861348	4.972646977804608	1
170907	4.972839029413658	4.97284488054907	1
171193	4.973118059733751	4.973135583814758	3
171478	4.973518468841484	4.973530132145232	2
171764	4.97384783773084	4.97387694743951	5
172050	4.973676256902063	4.973687881429817	2
172336	4.973812784328289	4.97386500789156	9
172622	4.974244302580204	4.974250095584572	1
172907	4.9744891762623835	4.974500743174076	2
173193	4.974721842106782	4.974733389917606	2
173479	4.974746222885767	4.9747635160451695	3
173765	4.975104307541795	4.9751215722383675	3
174051	4.975317579330197	4.975340561099907	4
174336	4.975380873715125	4.975386609765051	1
174622	4.975678894984595	4.975690348295175	2
174908	4.975735815400096	4.975764401856976	5
175194	4.976192107035629	4.97621493886777	4
175480	4.9762594027809435	4.976265101436061	1
175765	4.976195488294029	4.976218245953404	4
176051	4.976200078386377	4.976205758558599	1
176337	4.976516556366502	4.976533569245252	3
176623	4.9767187738856205	4.976741420992736	4
176909	4.976920337574685	4.9769259901983505	1
177194	4.977296070973058	4.9773186451008495	4
177480	4.977439711516791	4.977445345954473	1
177766	4.977729149556158	4.977757276419563	5
178052	4.977899714690091	4.977922180037292	4
178337	4.977850922691309	4.977867744775341	3
178623	4.978177502337325	4.978199895870072	4
178909	4.9782794605078555	4.978290639375325	2
179195	4.978537347582243	4.978542928095092	1
179481	4.978616120926449	4.978627264167238	2
179766	4.978950413315087	4.978961538889445	2
180052	4.979322640126186	4.979333748028347	2
180338	4.97968814115716	4.97969368630017	1
180624	4.980035875631145	4.980041411993977	1
180910	4.980039798794981	4.980045326405395	1
181195	4.980192610171362	4.980198129087447	1
181481	4.9803174988015275	4.980334029457629	3
181767	4.980700567209669	4.980711570307041	2
182053	4.980730886060653	4.980736378966565	1
182339	4.981046292894005	4.981057261474506	2
182624	4.981415367093043	4.981426318556159	2
182910	4.981493630747362	4.981504565086655	2
183196	4.981315094216031	4.981326011484967	2
183482	4.982014584536903	4.982020034662801	1
183768	4.982058900352619	4.982080666927866	4
184053	4.982325743128338	4.9823311763459435	1
184339	4.98231519103391	4.982320615821937	1
184625	4.982586323628977	4.982591740013541	1
184911	4.982856617507882	4.982883657543359	5
185197	4.982748100671177	4.982758899982181	2
185482	4.982790782933114	4.982806957009306	3
185768	4.982661168769648	4.982666551828086	1
186054	4.98301030883507	4.983031807969729	4
186340	4.983417409037243	4.983422775571536	1
186626	4.98360357077792	4.983608929088123	1
186911	4.983730224545372	4.983746274965091	3
